ntacode,medianinco,poororstru,poptot,popover18,male,highschool,comm_less30,comm_plus30
BK09,106609.89224614859,3360,23498,20492,11805,1396,5192,7429
BK17,54072.84560924915,20847,61584,50300,28670,13371,8190,17297
BK19,38613.710612968585,15107,31584,26328,14495,6067,3678,8539
BK21,30474.88473582517,17105,30018,23558,13849,6428,3100,6031
BK23,40239.31812306101,4786,15472,14185,6552,3846,1910,4132
BK25,45547.194157378464,15752,41899,31759,20742,9237,4980,10620
BK26,37221.28199863107,11906,27759,22556,12635,6709,3032,7235
BK27,52756.45279929037,10295,29311,23621,14421,7147,3075,8713
BK28,44054.16708240946,37857,86592,68463,41882,19727,9148,25377
BK29,42857.263878426624,25266,61066,49450,30046,13729,6575,18872
BK30,55779.064003892425,16980,45216,35923,22395,9337,4793,13832
BK31,57813.210174061394,26635,83821,66782,39949,13975,11135,25971
BK32,,28895,54932,42106,29432,7537,6168,17666
BK33,78400.09192836487,10312,39422,31728,18464,4271,6233,12952
BK34,34880.759627763786,46003,71460,53792,36563,10199,7587,22010
BK35,37688.545475742634,30546,64331,48066,28872,12516,4921,18918
BK37,98347.59948671496,11386,72864,59860,34912,4890,9380,31489
BK38,80395.89053798094,12680,35373,28932,17227,3972,5366,10830
BK40,80994.98068317753,4457,22571,18388,10698,2981,2771,9275
BK41,42875.13190972126,18216,36199,26532,17737,5644,3766,10829
BK42,45353.86926941595,48779,105094,79517,48046,19417,10987,34201
BK43,50203.23770237217,21261,51514,38200,25512,7328,6787,12130
BK44,55467.97695057624,13966,40001,31662,19269,7461,4687,11966
BK45,76980.72091580318,10226,48351,36150,23370,9143,8317,11742
BK46,51002.20920116678,6829,19541,13984,9573,3300,2566,4372
BK50,63678.124036675945,26462,86160,64933,38598,17016,8796,30497
BK58,63918.70875663168,19934,70872,53992,32144,14572,9151,22711
BK60,40379.024712883845,30224,69397,54130,31645,14983,6288,23182
BK61,36459.412044342345,49800,100130,77348,44442,20116,9422,30987
BK63,38718.86038842955,19654,41243,30071,19627,7097,4836,10919
BK64,80489.0252824099,4646,20449,17454,9720,1748,2556,9364
BK68,58660.091876065526,9113,26982,22202,11367,2807,3469,8779
BK69,59726.44415456019,12104,36413,30518,17412,3887,4639,12873
BK72,20539.84424881199,26221,32828,17130,16820,4915,5020,2511
BK73,50604.353722596046,21658,46070,37026,22290,4676,8220,14473
BK75,36377.74958270918,40025,70095,48544,33241,11362,7414,18126
BK76,62958.36663282786,9185,31522,28194,15499,4658,5653,12522
BK77,37363.960561010725,37687,61817,46296,31752,7619,6997,19053
BK78,36103.7050542479,38577,71247,53355,33944,11797,7489,20614
BK79,34135.03282963149,16810,31831,22549,14343,6448,2625,9169
BK81,26104.622049375586,34905,55412,38533,22458,12198,3593,13590
BK82,33185.71198181739,51994,91956,64654,40807,21876,5286,25892
BK83,40803.99204645878,24238,47526,34082,22721,11332,2633,15733
BK85,30176.073156025992,17339,29854,19933,13076,5785,1940,8246
BK88,37481.39915068312,63836,106203,65900,54766,20096,15142,17373
BK90,47929.79074046147,14676,33155,28943,15587,5061,5226,11415
BK91,56447.89794329339,15748,52657,41228,23220,13313,5278,18881
BK93,24827.212681328965,6829,12822,10167,4442,2827,798,3324
BK95,39753.20091537768,13230,29933,22530,13695,7110,2575,10008
BK96,47817.398866321935,20271,56277,43739,25251,13841,5406,19073
BK99,,220,416,288,180,43,12,144
BX01,21872.75699169787,21610,30715,20921,13919,4515,1911,6000
BX03,47869.599138401136,14089,36676,26503,16439,6025,4343,9879
BX05,30097.239793881083,32461,52591,37730,24990,8727,5290,13889
BX06,21150.896637319165,17357,25783,18606,12173,3297,3277,4681
BX07,35496.940227703984,16276,33728,25939,16080,6407,4023,9250
